Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00012,1436,01/01/17 1436,Possession of Marijuana,Christiana East Tower,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00043,2305,01/02/17 2305,Possession of Marijuana,Christiana East Tower,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00096,0819,01/04/16 0000-0800,Damaged Property,College of Arts and Science Annex Building,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00171,0949,01/06/17 0949,Graffiti,Hullihen Hall,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00201,0013,01/07/17 0013,Possession of Marijuana/CCDW,S College Ave/Main St,Pending
17-00216,1300,01/07/17 1300,Damaged Property,Trabant Garage,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00241,0052,01/07/17 0052,Underage Consumption,S Chapel St/Ashley Rd,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00277,0010,01/09/17 0010,Possession of Marijuana,Lot 7,Civil Assessment
17-00278,0012,01/09/17 0012,DUI,Library Ave/Wyoming Rd,Arrest
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00377,1626,08/26/16-01/10/17,Sexual Harrasment,ELI,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00428,0211,01/12/17 0211 hours,Possession of Marijuana/Paraphernalia,Delaware Ave,Civil Assessment
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00518,0115,01/14/17 0115,Public Intoxication,N College Ave/Cleveland Ave,Arrest
17-00519,0118,01/14/17 0118,Damaged Property,Ed Fine Lot,Pending
17-00520,0139,01/14/17 0139,DUI,W Main ST,Arrest
Incident #,Time,Date/Time Occurred,Description,Location Name,Disposition
17-00561,0148,01/15/17 0148,DUI,E Main St/S College Ave,Arrest
17-00576,1619,01/15/17 1619,Graffiti,Russell D/E Commons,Pending
Incident #,Time,Date/Time Occurred,Description,Location Name,Disposition
17-00616,1643,01/12/17 0800-01/13/17 1500,Theft,Harker Lab,Pending
17-00624,2211,01/16/17 1900-2210,Graffiti,Thomas McKean,Pending
Incident #,Time,Date/Time Occurred,Description,Locatio,Disposition
17-00643,1224,01/17/2017 1224,Theft,Graham Hall,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00697,1659,01/18/17 0750-1659,MV Collision,Motor Pool,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00730,0930,01/05/17,MV Collision,Pearson Lot,Pending
17-00736,1159,01/19/17,Harassment,Computing Center,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00809,0208,01/21/17 0208,Underage Consumption,Perkins Student Center,Arrest
17-00810,0226,01/21/17 0226,DUI,E Delaware Ave/Scholar Dr,Arrest
17-00828,1332,01/19  2140-01/20 0530,Theft,James Smith Hall,Pending
17-00848,2331,01/21/17 2331,Public Intoxication,Harter Hall,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00869,1910,01/22/17 1910,MV Collission,HML Lot,Pending
Incident #,Time,Date/Time Occurred,Description,Locat,Disposition
17-0888,1640,1/23/17 1540-1640,Theft,Purnell Hall,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-00988,1530,01/26/17 1530,Possession of Marijuana,Cannon Hall,Civil Assessment
17-00992,1739,01/26/17 1739,Shoplifting,Barnes & Noble,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01014,0837,1/27/17 0837,Harassment,Amy Rextrew House,Arrest
17-01035,2234,1/27/17 2234,Disorderly Conduct,Harrington Commons,Administrative Sanction
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01059,1414,1/28/17 0900,Fraud,Christiana West Towers,Pending
Incident #,Time,Date/Time Occurred,Description,Location,Disposition
17-01090,2108,01/29/17 2108,Graffiti,Caesar Rodney Hall A,Pending
