Incident #,Time,Date Occurred,Description,Location,Disposition,Day Occurred,Month Occurred,Year Occurred
17-00012,1436,1/1/17,Possession of Marijuana,Christiana Towers,Administrative Sanction,1,1,2017
17-00043,2305,1/2/17,Possession of Marijuana,Christiana Towers,Civil Assessment,2,1,2017
17-00096,0819,1/4/17,Damaged Property,College of Arts and Sciences,Pending,4,1,2017
17-00171,0949,1/6/17,Graffiti,Hullihen Hall,Pending,6,1,2017
17-00201,0013,1/7/17,Possession of Marijuana,S College Ave/Main St,Pending,7,1,2017
17-00216,1300,1/7/17,Damaged Property,Trabant University Center,Pending,7,1,2017
17-00241,0052,1/7/17,Underage Consumption,S Chapel St/Ashley Rd,Administrative Sanction,7,1,2017
17-00277,0010,1/9/17,Possession of Marijuana,Lot #7,Civil Assessment,9,1,2017
17-00278,0012,1/9/17,DUI,Library Ave/Wyoming Rd,Arrest,9,1,2017
17-00377,1626,8/26/17,Sexual Harrasment,ELI,Pending,26,8,2017
17-00428,0211,1/12/17,Possession of Marijuana,Delaware Ave,Civil Assessment,12,1,2017
17-00518,0115,1/14/17,Public Intoxication,N College Ave/Cleveland Ave,Arrest,14,1,2017
17-00519,0118,1/14/17,Damaged Property,Ed Fine Parking Lot,Pending,14,1,2017
17-00520,0139,1/14/17,DUI,W Main ST,Arrest,14,1,2017
17-00561,0148,1/15/17,DUI,E Main St/S College Ave,Arrest,15,1,2017
17-00576,1619,1/15/17,Graffiti,Russell D,Pending,15,1,2017
17-00616,1643,1/12/17,Theft,Harker ISE Lab,Pending,12,1,2017
17-00624,2211,1/16/17,Graffiti,Thomas McKean Hall,Pending,16,1,2017
17-00643,1224,1/17/20,Theft,Graham Hall,Pending,17,1,2020
17-00697,1659,1/18/17,MV Collision,Motor Pool,Pending,18,1,2017
17-00730,0930,1/5/17,MV Collision,Pearson Hall,Pending,5,1,2017
17-00736,1159,1/19/17,Harassment,Computing Center,Pending,19,1,2017
17-00809,0208,1/21/17,Underage Consumption,Perkins Student Center,Arrest,21,1,2017
17-00810,0226,1/21/17,DUI,E Delaware Ave/Scholar Dr,Arrest,21,1,2017
